,Unnamed: 0,Unnamed: 0.1,Review_ID,URL,Brand,Variety,Style,Country,Stars,Top Ten,Blurb
10,10,10,3463.0,https://www.theramenrater.com/2020/03/28/3463-wai-wai-brand-oriental-style-instant-noodles-thailand/,Wai Wai,Oriental Style Instant Noodles,Pack,Thailand,4,,"Finished (click to enlarge). Added egg, Salad Cosmo mung bean sprouts, sesame seed, coriander, spring onion, and tofu puff. Noodles have a very unique chew to them – they’re very different but on the same wavelength as other Thai varieties. The broth is a salty and very savory affair with a tinge of heat. Delightful. 4.0 out of 5.0 stars.  EAN bar code 8850100101105."
11,11,11,3462.0,https://www.theramenrater.com/2020/03/27/3462-mi-abc-mi-instan-goreng-indonesia/,ABC,Mi Instant Goreng,Pack,Indonesia,5,,"Finished (click to enlarge). Added fried egg, Salad Cosmo mung bean sprouts, tofu puff, and coriander. Noodles come out with just a slight fluff to them which was very good. The sweet, spicy, salty and oily elements are all there in perfect balance. Absolutely wonderful. 5.0 out of 5.0 stars.  EAN bar code 8992388144013."
12,12,12,3461.0,https://www.theramenrater.com/2020/03/26/3461-mr-min-original-korean-ramen-instant-noodles-france/,Mr. Min,Original Korean Ramen Instant Noodles,Pack,France,5,,"Finished (click to enlarge). Added egg, cheese, spring onion, Salad Cosmo mung bean sprouts, sesame seed. Noodles are really great and pick up the broth’s flavor perfectly. The broth is really a nice surprise. This is ramyun as it should be – maybe could be a skosh spicier, but this allows the consumer to add in some spiciness should they choose. The saltiness and savoriness are just super tasty. Much impressed. 5.0 out of 5.0 stars."
13,13,13,3460.0,https://www.theramenrater.com/2020/03/25/3460-paldo-bibimmen-35th-anniversary-edition-south-korea/,Paldo,Bibimen (35th Anniversary Edition),Pack,South Korea,4,,"Finished (click to enlarge). I deleted the regular ‘finished’ pic on accident – I need to get more sleep… Added bamboo shoots, egg, spring onion, Salad Cosmo mung bean sprouts, and chili oil. Noodles come out nicely and have a great tooth served chilled. The flavor is a hot and spicy, sweet and savory hit – definitely a lot hotter than I remember and it seems my ability to handle heat has greatly diminished over the last few months. But I still enjoy it. 4.0 out of 5.0 stars. EAN bar code 8809296884842."
14,14,14,3459.0,https://www.theramenrater.com/2020/03/24/3459-samyang-foods-buldak-meat-spaghetti-south-korea/,Samyang Foods,Buldak Meat Spaghetti,Bowl,South Korea,4.5,,"Finished (click to enlarge). Added baked chicken, mozzarella, and spring onion. Noodles came out very nicely – good chew. The flavor was great – a sweet and salty kind of bolognese with little meaty bits. The heat level was excellent for this one. 4.5 out of 5.0 stars.  EAN bar code 8801073212275."
15,15,15,3458.0,https://www.theramenrater.com/2020/03/23/3458-maruchan-chikara-mochi-udon-japan/,Maruchan,Chikrara Mochi Udon,Bowl,Japan,1,,"Finished (click to enlarge). Added habanero shichimi, egg, menma, spring onion, chili oil, and spring onion. Noodles were alright – broth was fish salty as expected. The mochi though was infuriating. The concept of gooey mochi is not at home here, A shame, but bye bye. 1.0 out of 5.0 stars.  JAN bar code 4901990522991."
16,16,16,3457.0,https://www.theramenrater.com/2020/03/21/3457-samyang-buldak-corn-hot-chicken-flavor-ramen-south-korea/,Samyang Foods,Buldak Corn HOT Chicken Flavor Ramen,Pack,South Korea,4.5,,"Finished (click to enlarge). Added Salad Cosmo Mung bean sprouts, egg, spring onion, and baked chicken. The noodles are good – gauge and chew excellent as usual. The flavor is a ht and spicy corn taste – tastes of the smell of opening a fresh can of corn. Heat is solid an d not for the faint of heart. 4.5 out of 5.0 stars.  EAN bar code 8801073114333."
17,17,17,3456.0,https://www.theramenrater.com/2020/03/21/3456-daisho-seafood-vermicelli-noodles-japan/,Daisho,Seafood Vermicelli Noodles,Pack,Japan,4,,"Finished (click to enlarge). Added fishball, shrimp, and spring onion. Vermicelli came out well. The flavored sauce was tasty – kind of like a seafood teriyaki sauce. 4.0 out of 5.0 stars.  JAN bar code 4904621070991."
18,18,18,3455.0,https://www.theramenrater.com/2020/03/20/3455-young-poong-yopokki-cheese-topokki-rice-cake-south-korea/,Young Poong,Yopokki Cheese Topokki (Rice Cake),Cup,South Korea,3.75,,"Finished (click to enlarge). Added spring onion. Well, this wasn’t exactly what I expected, but it wasn’t bad. The topokki came out pretty well – after 2 minutes at 1000 watts I think a tad more water would’ve served it better though. Flavor was a nice cheesy spicy melange. All in all, hard to put down! 3.75 out of 5.0 stars.  EAN bar code 8809054400192."
19,19,19,3454.0,https://www.theramenrater.com/2020/03/19/3454-red-chef-spicy-sakura-prawn-soup-rice-vermicelli-and-noodles-new-recipe-malaysia/,Red Chef,Spicy Sakura Prawn Soup Rice Vermicelli & Noodles (New Recipe),Pack,Malaysia,5,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, spring onion, shrimp, chili flake, and egg. The combination of the wheat noodle and the rice vermicelli imparts a mouthfeel second to none. Coupled with a respectably spicy and luxuriantly strong prawn broth, it’s a one two punch of flavor and texture that can be only summed up as love, pure and simple. But it’s not done impressing yet as the fried onion garnish just wraps everything up with a bow and hands it to you with a smile. Truly elegant, authentic, and delicious. 5.0 out of 5.0 stars.  EAN bar code 9556145137015."
20,20,20,3453.0,https://www.theramenrater.com/2020/03/19/3453-seven-i-premium-curry-ramen-japan/,Seven & i,Premium Curry Ramen,Cup,Japan,5,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, egg, black sesame seed, spring onion, shichimi, and chili oil. The noodles were very good – they had a decent bite to them I enjoyed quite a bit. The broth was very saucy and had a standard Japanese curry flavor. Included mince and potatoes were quite good. 5.0 out of 5.0 stars.  JAN bar code 4901734037705."
21,21,21,3452.0,https://www.theramenrater.com/2020/03/18/3452-paldo-teumsae-9413shu-japan/,Paldo,"Teumsae (9,413SHU)",Pack,Japan,4,,"Finished (click to enlarge). Added lemon, lime, and orange slices, sesame seeds, Salad Cosmo mung bean sprouts, Habanero togarashi, chili oil, and spring onion. The noodles are really quite nice – thick and chewy ones that cradle the soup well. The soup is a seriously spicy monster seething wih flavor. Just like the South Korean version – 4.0 out of 5.0 stars. JAN bar code 8809296880301."
22,22,22,3451.0,https://www.theramenrater.com/2020/03/17/3451-shin-light/,Nongshim,Shin Light Air Dried Noodle Soup,Pack,South Korea,5,,"Finished (click to enlarge). Added spring onion, sesame seed, egg, beef sauteed with soy sauce, and processed cheese. The noodles in this one were unique – they were quite good! They worked nicely with the broth which was the standard kind of Shin thing going on. I wouldn’t call this Shin Light – I’d call it Shin White. I’d also say an apt name would be Shin Plus because I really enjoyed it. 5.0 out of 5.0 stars. UPC bar code 031146049707."
23,23,23,3450.0,https://www.theramenrater.com/2020/03/16/3450-taihodien-green-chilli-paste-noodles-taiwan/,Taihodien,Green Chilli Paste Noodle,Pack,Taiwan,0,,"Finished (click to enlarge). Added baked chicken, Sichuan pepper powder, sesame seed, and spring onion. While the noodle was very nice – a very thin dry noodle from Taiwan, the flavor for this reviewer was horrible. Just can’t win today as this is the third one I’ve had I’ve disliked. The combo of peppers going on here reminds me of the smell of detergents and solvents used to clean a dirty bathroom (note I’m not saying it contains anything like that, I just don’t enjoy the odor). I’m sure many of you like this one but it made me wretch. 0.0 out of 5.0 stars.  EAN bar code 4710006581682."
24,24,24,3449.0,https://www.theramenrater.com/2020/03/13/3449-lmf-hong-kong-chow-mein-tan-tan-flavor-china/,LMF,Hong Kong Chow Mein Tan Tan Flavor,Pack,China,2.5,,"Finished (click to enlarge). Added spring onion, Salad Cosmo mung bean sprouts, sesame seed, and baked chicken. Noodles had a nice mouthfeel and there were a huge amount of them – less than half are shown here. The flavor was a kind of tart kind of action with a little spice, however it was really quite muted. Would have liked a little more. 2.5 out of 5.0 stars.  EAN bar code 69339638802142."
25,25,25,3448.0,https://www.theramenrater.com/2020/03/12/3448-jongga-real-kimchi-ramen-south-korea/,Jongga,Real Kimchi Ramen,Bowl,South Korea,2,,"Finished (click to enlarge). Added beef sauteed with soy sauce, Salad Cosmo mung bean sprouts, sesame seed, spring onion, Noodles after 3 minutes were atrociously spongy and even after a few more really didn’t improve. The broth and included kimchi were extremely good, which made this a real downer. 2.0 out of 5.0 stars.  UPC bar code 852320000211."
26,26,26,3447.0,https://www.theramenrater.com/2020/03/11/3447-itsuki-chinese-lemon-cold-noodle-japan/,Itsuki,Chinese Lemon Cold Noodle,Pack,Japan,3.5,,"Finished (click to enlarge). Added egg, sliced chashu, sesame seed, Salad Cosmo mung bean sprouts, and shichimi. The noodles have a good chew to them and gauge works here. I like how they get an extra little chew from their coldness. The broth/sauce is good – kind of a lemon and black vinegar affair. 3.5 out of 5.0 stars.  JAN bar code 4901726013557."
27,27,27,3446.0,https://www.theramenrater.com/2020/03/10/3446-prima-taste-bpc/,Prima Taste,Singapore Black Pepper Crab Flavoured La Mian,Pack,Singapore,5,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, tofu puff, coriander, egg, black sesame seed, and chili flake. Noodles are absolutely exquisite as always. They have a nice and strong chew – something you would use in a made from scratch kind of feel to them. The Sauce coats everything very well. It has a savory and peppery taste to it – something you could linger over and enjoy thoroughly. Excellent stuff. 5.0 out of 5.0 stars. EAN bar code 8886350067731."
28,28,28,3445.0,https://www.theramenrater.com/2020/03/10/3445-samurai-ramen-japan/,Samurai,Ramen,Pack,Japan,4.5,,"Finished (click to enlarge). Added black sesame seed. The noodles are really quite good – gauge and chew are on point. The broth is on the thinner end of things, however it has a nice miso flavor that isn’t overly red miso for my taste. All in all pretty decent. 4.5 out of 5.0 stars.  JAN bar code 4976740902798."
29,29,29,3444.0,https://www.theramenrater.com/2020/03/09/3444-maruchan-ramen-noodle-soup-hot-n-spicy-vegetable-flavor-united-states/,Maruchan,Ramen Noodle Soup Hot-N-Spicy Vegetable Flavor,Pack,United States,3.75,,"Finished (click to enlarge). Added egg, Salad Cosmo mung bean sprouts, cilantro, spring onion, pepper flake, sesame seed, Cholula hot sauce, Laoganma Spicy Chilli Crisp, Cool Ranch Doritos, Cheez-its, Chili Cheese Fritos, Pizza Pringles, and two slices of Velveeta. Before the onslaughts of topping, the noodles came out nicely as expected – your standard domestic. The broth was a kind of buttery and salty affair with a little pop of spiciness which was enjoyable. Not worth a trip to prison but pretty good! 3.75 out of 5.0 stars.  UPC bar code 04178900279."
30,30,30,3443.0,https://www.theramenrater.com/2020/03/08/3443-maruchan-kameda-kakinotane-wasabi-yakisoba-japan/,Maruchan,Kameda Kakinotane Wasabi Yakisoba,Tray,Japan,4.5,,"Finished (click to enlarge). Added egg, mayonnaise, Salad Cosmo mung bean sprouts, spring onion, and sesame seeds. The noodles were good – a great vehicle to carry the flavor. The flavor was a very strong wasabi hit to it. Hard to put down, but the only confusion were the wasabi puffs as they didn’t seem like they were wasabi anything and only just tempura. They did add a satisfying crunch. 4.5 out of 5.0 stars.  JAN bar code 4901990363631."
31,31,31,3442.0,https://www.theramenrater.com/2020/03/08/3442-paldo-mr-kimchi-stirfried-kimchi-ramen-south-korea/,Paldo,Mr Kimchi Stirfried Kimchi Ramen,Bowl,South Korea,5,,"Finished (click to enlarge). Added beef sauteed with a little soy sauce, spring onion, Salad Cosmo mung bean sprouts, and black sesame seed,. Noodles were nice and plump with zero sponginess. Flavor worked perfectly with them – flavor was a sweet and tangy kimchi sauce, flecked sporadically with kimchi. It prodded a strong flavor profile which hit all the right notes for me. Very impressed. 5.0 out of 5.0 stars. UPC bar code 648436101498."
32,32,32,3441.0,https://www.theramenrater.com/2020/03/07/3441-myojo-extremely-ramen-noodles-rich-potato-butter-shio-japan/,Myojo,Extremely Ramen Noodles Rich Potato Butter Shio Ramen,Cup,Japan,3,,"Finished (click to enlarge). Added spring onion, Salad Cosmo mung bean sprouts, Himalayan Salt For Life dusted baked chicken, shichimi, soft egg, sesame seed. Noodles came out nicely. The broth has a very buttery initial taste with a little oiliness. Included potato was interesting. 3.0 out of 5.0 stars. JAN bar code 4902881414920."
33,33,33,3440.0,https://www.theramenrater.com/2020/03/06/3440-nongshim-k-army-stew-style-noodle-soup-with-chili-beans-united-states/,Nongshim,K-Army Stew Style Noodle Soup With Chili Beans,Pack,United States,5,,"Finished (click to enlarge). Added egg, spring onion, dry salami, barbecue pork, processed cheese, macaroni and cheese,, and chili flake. Wow. Okay, the noodles are very good – nice tick and plump quantity here. The broth has this spicy, tangy and confort foody kind of melange of rich flavor that is indicative of budae jjigae. I think the inclusion of the beans add to the heartiness for sure. Little bits of SPAM-like fishcake are abundant. Been missing a good budae jjigae and looks like there’s one available again! 5.0 out of 5.0 stars. UPC bar code 031146054282."
34,34,34,3439.0,https://www.theramenrater.com/2020/03/05/3439-acecook-potato-butter-shio-ramen-japan/,Acecook,Potato Butter Shio Ramen,Cup,Japan,3.5,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, chashu, spring onion, kizami shoga, shichimi, egg, and chili oil. Noodles came out quite well with a round shape and nice little chew to them. The broth is milky with a definite butteriness to it. Potato was sporadic and kind of interesting. 3.5 out of 5.0 stars.  JAN bar code 4901071246495."
35,35,35,3438.0,https://www.theramenrater.com/2020/03/04/3438-nissin-cup-noodles-big-extra-spicy-tonkotsu-hong-kong/,Nissin,Cup Noodles Big Extra Spicy Tonkotsu,Cup,Hong Kong,3.25,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, chashu, egg, spring onion, shichimi, and chili oil. A ton of noodles in here – they don’t call it big for nothing. Lots of different bits of garnish are included as well. The broth is a milky tonkotsu with a sharp chemical heat to it – and I’m guessing it’s pepper extract. While I like that it was formidably spicy, the extract flavor didn’t do the trick for me. Nonetheless, it wasn’t bad. 3.25 out of 5.0 stars.  EAN bar code 4897878630134."
36,36,36,3437.0,https://www.theramenrater.com/2020/03/03/3437-red-chef-gty-dec19/,Red Chef,Green Tom Yum Soup Noodles (New Formulation Dec 2019),Pack,Malaysia,5,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, Dodo shrimp amd fish ball, coriander, and chili flake. Noodles are perfection – just as plump as can be with a backbone that’s just the right firmness. The broth has a spiciness, tanginess, and flavor. I noticed strong notes of prawn which lingered intermittently – all these things combine o make a masterful melange of taste which is perfection in a bowl. 5.0 out of 5.0 stars.  EAN bar code 9556145131020."
37,37,37,3436.0,https://www.theramenrater.com/2020/03/01/3436-samyang-foods-aloha-bowl-noodle-soup-kimchi-flavour-south-korea/,Samyang Foods,Aloha Bowl Noodle Soup Kimchi Flavour,Bowl,South Korea,3.5,,"Finished (click to enlarge). Added cheese, Lao Gan Ma Spicy Chilli Crisp, and spring onion. The noodles came out nicely in this one – no sponginess. The broth has a decent salty kimchi flavor with just a hint of spiciness. 3.5 out of 5.0 stars.  EAN bar code 8801073212022."
38,38,38,3435.0,https://www.theramenrater.com/2020/02/29/3435-nissin-cup-noodle-smoky-spicy-sio-japan/,Nissin,Cup Noodle Smoky & Spicy Sio,Cup,Japan,1.5,,"Finished (click to enlarge). Added chili flake, spring onion, and Salad Cosmo mung bean sprouts. Noodles hydrated to about 85% of enjoyable. The flavor was just a confusing mess; kind of reminded me of an alfredo sauce pizza from a local joint. Just not my thing. 1.5 out of 5.0 stars.  JAN bar code 4902105250143."
39,39,39,3434.0,https://www.theramenrater.com/2020/02/29/3434-samyang-foods-aloha-bowl-noodle-soup-chicken-flavour-south-korea/,Samyang Foods,Aloha Bowl Noodle Soup Chicken Flavor,Bowl,Souh Korea,3.5,,"Finished (click to enlarge). Added soft egg, spring onion, chicken baked with chilli crisp, pepper flake, and Salad Cosmo mung bean sprouts. Noodles hydrated very well. Broth was a salty chicken flavor that was satisfactory. 3.5 out of 5.0 stars.  EAN bar code 8801073212039."
40,40,40,3433.0,https://www.theramenrater.com/2020/02/29/3433-base-foods-base-noodles-united-states/,Base Foods,Base Noodles,Pack,United States,NS,,"Finished (click to enlarge). Added soft egg, soy sauce, Salad Cosmo mung bean sprouts, spring onion, sesame seed, and chili flake. I have to say I like these noodles a lot – they have a great chew and a good taste to them. Definitely a kind of hearty, rustic grunt to them I very much liked. No score as no sachet. UPC bar code 860001887303."
41,41,41,3432.0,https://www.theramenrater.com/2020/02/27/3432-nissin-eco-style-refill-chikin-ramen-japan/,Nissin,Eco Style Refill Pack,Pack,Japan,5,,Finished (click to enlarge). Added spring onion. The noodles are classic Chikin Ramen – thin and soft. Broth has a chicken and sesame taste and is complimented with egg. This really brings me back to my childhood. 5.0 out of 5.0 stars. JAN bar code 4902105016343.
42,42,42,3431.0,https://www.theramenrater.com/2020/02/25/3431-nissin-raoh-grapefruit-shio-ramen-japan/,Nissin,Raoh Grapefruit Shio Ramen,Pack,Japan,2.5,,"Finished (click to enlarge). Added egg, chashu, plum paste, Salad Cosmo mung bean sprouts, spring onion, and sesame seeds. The noodles had a strong backbone – noodles are hard to break by pursing the lips. Broth has a nice oiliness to it, and then this odd citrus and almost salmon kind of back and forth I found interesting, however just not compelling. 2.5 out of 5.0 stars.  JAN bar code 4902105901427."
43,43,43,3430.0,https://www.theramenrater.com/2020/02/24/3430-myojo-ippeichan-potato-mayo-yakisoba-japan/,Myojo,Ippeichan Potato Mayo Yakisoba,Tray,Japan,3.75,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, spring onion, sesame seed, shichimi, and Ultimate TKG egg. The noodles are thin and dry as the flavoring is powder based. The mayo definitely lubes them up though which helps. It’s pretty good; and greasy, noodle and potato dish which actually is pretty good. 3.7 out of 5.0 stars.  JAN bar code 490288143257."
44,44,44,3429.0,https://www.theramenrater.com/2020/02/23/3429-paldo-bul-jjamppong-south-korea/,Paldo,Bul Jjamppong,Pack,South Korea,5,,"Finished (click to enlarge). Added Salad Cosmo mung bean sprouts, raw egg, shrimp, Sichuan pepper powder, crab stick, spring onion, and fish ball. Noodles are great – very thick and chewy – almost udon byst just bot quite. The broth has an exquisite grilled seafood taste to it – especially after the garnish oil is added. We should bathe in this oil! 5.0 out of 5.0 stars. EAN bar code 8809296883180."
45,45,45,3428.0,https://www.theramenrater.com/2020/02/22/3428-wu-mu-mandashi-sakura-shrimp-scallion-oil-noodles-taiwan/,Wu Mu,Mandashi Sakura Shrimp Scallion Oil Noodle,Box,Taiwan,4,,"Finished (click to enlarge). Added soft egg, sesame seed, Laoganma Chilli Crisp, shrimp, Sichuan pepper powder, and spring onion. The noodles are more akin to an instant in this one – like a top of the line instant. Flavor is quite good – shrimp and scallion oil collide nicely and the chunky stuff worked well. 4.0 out of 5.0 stars.  EAN bar code 4710175574607."
46,46,46,3427.0,https://www.theramenrater.com/2020/02/20/3427-samyang-foods-buldak-bokkeummyun-light-south-korea/,Samyang Foods,Buldak Light,Pack,South Korea,5,,"Finished (click to enlarge). Added Lao Gan Ma Chilli Crisp, Salad Cosmo mung bean sprouts, sesame seeds, tofu puff, and spring onion. The noodles are a refreshing changer. They have a very nice chew to them that imparts a little extra quality I think. The flavoring coats everything and is indeed less spicy – and works well. Included sprinkle seasoning is just as always – seaweed and sesame seed. A really nice newcomer to the well known Buldak range. 5.0 out of 5.0 stars. EAN bar code 8801073114364."
47,47,47,3426.0,https://www.theramenrater.com/2020/02/20/3426-one-culture-foods-taiwanese-beef-noodle-united-states/,One Culture Foods,Taiwanese Beef Noodle,Cup,United States,3.75,,"Finished (click to enlarge). Added Lao Ga Ma Chili Crisp, Salad Cosmo mung bean sprouts, spring onion, sauteed beef, and sesame seeds. Honestly, this was pretty decent, however wasn’t really up to par with the name to be honest. It just was missing something and really was an ingredient or two shy from reminding me more of pho. But as with the chicken variety, the name seemed off but the product was alright. 3.75 out of 5.0 stars.  EAN bar code"
48,48,48,3425.0,https://www.theramenrater.com/2020/02/18/3425-nissin-u-f-o-chow-mein-noodles-spicy-beef-artificial-flavor-hong-kong/,Nissin,U.F.O. Chow Mein Noodles Spicy Beef Artificial Flavour,Tray,Hong Kong,4,,"Finished (click to enlarge). Added sauteed beef, sesame seeds, spring onion, and Salad Cosmo mung bean sprouts. The noodles were of good quality – thin and nice mouthfeel – not spongy. The flavor was a mildly spicy beef – mild enough my daughter could tolerate them. All in all a nice one. 4.0 out of 5.0 stars.  EAN bar code 4897878290079."
49,49,49,3424.0,https://www.theramenrater.com/2020/02/15/3424-takamori-kosan-butter-soy-sauce-spaghetti-japan/,Takamori,Butter & Soy Sauce Spaghetti,Pack,Japan,4.25,,"Finished (click to enlarge). Added white onion, spring onion, chashu, and chili flake. Noodles have a nice gauge and great fresh chew to them. The flavor is as advertised – a kind of salty soy with a hint of sweet and then a little butteriness. All in all enjoyable and hearty. 4.25 out of 5.0 stars.  JAN bar code 4901726050163."
50,50,50,3423.0,https://www.theramenrater.com/2020/02/14/3423-mi-abc-mi-instan-vegetable-flavour-indonesia/,ABC,Mi Instant Vegetable Flavor,Pack,Indonesia,3.5,,"Finished (click to enlarge). Added tofu puff, Salad Cosmo mung bean sprouts, coriander, spring onion, white onion, and Lao Gan Ma Chili Crisp. Noodles came out nicely, and worked well with the broth. The broth was with a light oiliness and lime flavor which was very good. 3.5 out of 5.0 stars. EAN bar code 8992388144020."
51,51,51,3422.0,https://www.theramenrater.com/2020/02/13/3422-maruchan-qtta-tomato-cheese-cream-ramen-japan/,Maruchan,QTTA Tomato Cream Cheese Ramen,Cup,Japan,3.5,,"Finished (click to enlarge). Added spring onion and pepper flake. These weren’t bad, just incredibly weird and I respect that. Broad, flat noodles with a slight rubberiness meets a broth of cheap party pizza. I dunno – it had a kind of charm to it. 3.5 out of 5.0 stars.  JAN bar code 4901990364171."
52,52,52,3421.0,https://www.theramenrater.com/2020/02/12/3421-samyang-foods-aloha-bowl-noodle-soup-spicy-beef-flavour-south-korea/,Samyang Foods,Aloha Bowl Noodle Soup Spicy Beef Flavor,Bowl,South Korea,4,,"Finished (click to enlarge). Added sauteed beef, narutomaki, egg yolk, spring onion, pepper flake, and Salad Cosmo mung bean sprouts. The noodles hydrated adequately in the time alotted. The broth is just great – salty, spicy , beefy. Exactly what I expected and a nice bowl. 4.0 out of 5.0 stars.  EAN bar code 8801073212015."
53,53,53,3420.0,https://www.theramenrater.com/2020/02/11/3420-shun-savory-dried-noodles-hot-sour-china/,Shun Savory,Dried Noodles Hot & Sour,Pack,China,4,,"Finished (click to enlarge). Added beef sauteed with soy sauce, Salad Cosmo mung bean sprouts, spring onion. Noodles were good – soft and thin. The broth was a wallop of Sichuan peppercorn and black vinegar infused madness. I mean it tastes like something that’s mad at you. That being said, it’s excellent in quality – I mean, not my favorite but definitely authentic. 4.0 out of 5.0 stars.  EAN bar code 6971913320049."
